"ID","Body","Account","Car (VIN)","Stars","Title","Duration","Published"
"","Took it on some rough trails and it didn't flinch once.","1","1C6SRFU91NN368585","3","Conquered everything","1","1761955200.0"
"","Big comfortable and easy to drive despite its size. Great for road trips.","1","1FTFW1RG2KFC24109","3","Commanding presence","1","1762094225.5"
"","Faster than anything I've driven before. Loved every second.","1","1G1FE1R70N0117014","4","Absolutely quick","1","1762233250.9"
"","Nothing like the feel of a true performance machine. Would rent again.","1","1G1YA2D41P5130464","4","Raw and exciting","1","1762372276.4"
"","The acceleration is savage and the sound is music to my ears.","1","1G1YY2182J5117085","4","Incredible machine","1","1762511301.8"
"","This car is incredible. Every corner every straightaway it delivers.","1","1G1YY24UX55101683","4","Pure driving bliss","1","1762650327.3"
"","Big comfortable and easy to drive despite its size. Great for road trips.","1","1GNS6DKD6TR245343","3","Commanding presence","1","1762789352.7"
"","Commanding yet refined. The interior quality is outstanding.","1","1HGCM82633A004352","5","Effortless elegance","1","1762928378.2"
"","This car does everything brilliantly without breaking a sweat.","1","1HGCM82633A004399","3","Quiet confidence","1","1763067403.6"
"","Long highway stretches feel like nothing in this car. Exceptional.","1","1L1FM81W6YY940880","5","Pure comfort","1","1763206429.1"
"","This car is incredible. Every corner every straightaway it delivers.","1","3MF13DM05P8D14978","5","Pure driving bliss","1","1763345454.5"
"","Every detail is perfect. I felt like royalty the entire time.","1","3MW5R1J00L8B14023","3","Rolling first class","1","1763484480.0"
"","This thing climbed terrain I didn't think was possible for a rental.","1","3TYLE5JN7RT053539","3","Go-anywhere attitude","1","1763623505.5"
"","More fun than it looks. Nippy in the city and easy on gas.","1","3VV0B7AX1NM077609","3","Practical and fun","1","1763762530.9"
"","Not exciting but does everything well. Perfect city runabout.","1","3VV1X7B24NM001973","4","Sensible pick","1","1763901556.4"
"","Exactly what I needed. Fuel efficient and surprisingly fun to drive.","1","3VW1T7BU7NM028240","4","Great value","1","1764040581.8"
"","Easy to park cheap to run and comfortable enough for daily use.","1","3VWDD21C3YM416110","5","Smart choice","1","1764179607.3"
"","No frills no fuss. Just a solid reliable car for getting around.","1","3VWH17AUXKM506166","5","Does the job","1","1764318632.7"
"","Four-wheel drive engaged and nothing could stop us. Brilliant off-roader.","1","43511510125842","3","Unstoppable","1","1764457658.2"
"","Long highway stretches feel like nothing in this car. Exceptional.","1","4JGFB4JB0NA657602","5","Pure comfort","1","1764596683.6"
"","Massive interior with tons of cargo room. Perfect for the whole family.","1","4JGFF5KE0NA582001","4","Space for days","1","1764735709.1"
"","Big comfortable and easy to drive despite its size. Great for road trips.","1","4JGFF5KE9RB114803","5","Commanding presence","1","1764874734.5"
"","Clean fast and tech-forward. This is how cars should be.","1","50EA1DAA7NA001658","5","Zero regrets","1","1765013760.0"
"","Nothing like the feel of a true performance machine. Would rent again.","1","55SWF8HB6KU306359","4","Raw and exciting","1","1765152785.5"
"","Long highway stretches feel like nothing in this car. Exceptional.","1","5UX43DP00N9J20369","5","Pure comfort","1","1765291810.9"
"","Supremely comfortable. The cabin is quiet and the ride is silky smooth.","1","5UXCR4C00M9E15750","5","Pampered in style","1","1765430836.4"
"","Every detail is perfect. I felt like royalty the entire time.","1","5UXCW2C00N9K28584","4","Rolling first class","1","1765569861.8"
"","Faster than anything I've driven before. Loved every second.","1","5YMJU0C02N9K74962","3","Absolutely quick","1","1765708887.3"
"","The acceleration is unlike anything from a combustion engine.","1","7FCTGAAA5PN025697","4","Electrifying experience","1","1765847912.7"
"","Huge but surprisingly agile. Very refined for a full-size vehicle.","1","7UUG1GHK6TA021248","5","Effortless hauler","1","1765986938.2"
"","This car is incredible. Every corner every straightaway it delivers.","1","9BWKE61J834080560","4","Pure driving bliss","1","1766125963.6"
"","Easy to park cheap to run and comfortable enough for daily use.","1","HA42103398","4","Smart choice","1","1766264989.1"
"","Faster than anything I've driven before. Loved every second.","1","JHMFL5G47SX003350","4","Absolutely quick","1","1766404014.5"
"","More fun than it looks. Nippy in the city and easy on gas.","1","JHMZF1C61ES000529","4","Practical and fun","1","1766543040.0"
"","The acceleration is savage and the sound is music to my ears.","1","JM1NDAC70T0701120","4","Incredible machine","1","1766682065.5"
"","This car is incredible. Every corner every straightaway it delivers.","1","JT2AE88C4G0192657","3","Pure driving bliss","1","1766821090.9"
"","Capable beyond what I expected. Ground clearance is impressive.","1","JTEVB5BR9S5022783","3","Trail beast","1","1766960116.4"
"","Ate up the miles without any fuss. Passengers were very comfortable.","1","JTMCY7AJ0L4089622","5","Smooth cruiser","1","1767099141.8"
"","Nothing like the feel of a true performance machine. Would rent again.","1","KMHLW4DK5TU038234","3","Raw and exciting","1","1767238167.3"
"","Long highway stretches feel like nothing in this car. Exceptional.","1","PG6SA100572","4","Pure comfort","1","1767377192.7"
"","Supremely comfortable. The cabin is quiet and the ride is silky smooth.","1","SAJBM2FV7JCY67909","4","Pampered in style","1","1767516218.2"
"","Handles like it was born on a circuit. The power is addictive.","1","SAJDA41B953A43333","5","Track-ready monster","1","1767655243.6"
"","Faster than anything I've driven before. Loved every second.","1","SAJEA03V131M54851","4","Absolutely quick","1","1767794269.1"
"","This car does everything brilliantly without breaking a sweat.","1","SAJWA54C35WE44460","3","Quiet confidence","1","1767933294.5"
"","Long highway stretches feel like nothing in this car. Exceptional.","1","SAL1L9E97SA426247","5","Pure comfort","1","1768072320.0"
"","Massive interior with tons of cargo room. Perfect for the whole family.","1","SALGS2SV7KA550136","5","Space for days","1","1768211345.5"
"","Big comfortable and easy to drive despite its size. Great for road trips.","1","SALGW2RE1MA425534","3","Commanding presence","1","1768350370.9"
"","This thing climbed terrain I didn't think was possible for a rental.","1","SALRG2RK1JA073756","5","Go-anywhere attitude","1","1768489396.4"
"","This car does everything brilliantly without breaking a sweat.","1","SCBCR63W55C029170","3","Quiet confidence","1","1768628421.8"
"","The acceleration is savage and the sound is music to my ears.","1","SCCLEKAX9RHB11118","5","Incredible machine","1","1768767447.3"
"","This car is incredible. Every corner every straightaway it delivers.","1","SCEDT26T5BD003600","4","Pure driving bliss","1","1768906472.7"
"","Handles like it was born on a circuit. The power is addictive.","1","SCFSMGNW0TGP11617","5","Track-ready monster","1","1769045498.2"
"","Faster than anything I've driven before. Loved every second.","1","TCSL3742","4","Absolutely quick","1","1769184523.6"
"","Nothing like the feel of a true performance machine. Would rent again.","1","TSF135L","5","Raw and exciting","1","1769323549.1"
"","Long highway stretches feel like nothing in this car. Exceptional.","1","W1K5J4GB3NN299579","4","Pure comfort","1","1769462574.5"
"","This car is incredible. Every corner every straightaway it delivers.","1","W1K7X5KB5MA037069","3","Pure driving bliss","1","1769601600.0"
"","Range was better than expected and charging was convenient.","1","W1KCG2DB2NA003571","3","Future is now","1","1769740625.5"
"","Faster than anything I've driven before. Loved every second.","1","W1KMK6CB1TF112048","4","Absolutely quick","1","1769879650.9"
"","This car does everything brilliantly without breaking a sweat.","1","W1N0G8DB0NG112391","4","Quiet confidence","1","1770018676.4"
"","Long highway stretches feel like nothing in this car. Exceptional.","1","W1N4M4GB0NW175429","3","Pure comfort","1","1770157701.8"
"","This car is incredible. Every corner every straightaway it delivers.","1","WA114AFY9N2106030","4","Pure driving bliss","1","1770296727.3"
"","Range was better than expected and charging was convenient.","1","WA11AAGE0NB027097","3","Future is now","1","1770435752.7"
"","Commanding yet refined. The interior quality is outstanding.","1","WA14AAFY1N2097538","5","Effortless elegance","1","1770574778.2"
"","This car does everything brilliantly without breaking a sweat.","1","WA17AAF4XMA021007","4","Quiet confidence","1","1770713803.6"
"","Long highway stretches feel like nothing in this car. Exceptional.","1","WA1AJBF71ND010760","5","Pure comfort","1","1770852829.1"
"","Supremely comfortable. The cabin is quiet and the ride is silky smooth.","1","WAU2AGF51MN005537","4","Pampered in style","1","1770991854.5"
"","Every detail is perfect. I felt like royalty the entire time.","1","WAU92BF24SN011821","4","Rolling first class","1","1771130880.0"
"","Clean fast and tech-forward. This is how cars should be.","1","WAUAUDGY1NA093301","4","Zero regrets","1","1771269905.5"
"","Nothing like the feel of a true performance machine. Would rent again.","1","WAUB1GFFXJ1090406","4","Raw and exciting","1","1771408930.9"
"","The acceleration is savage and the sound is music to my ears.","1","WAUB4AF41MA065448","4","Incredible machine","1","1771547956.4"
"","This car is incredible. Every corner every straightaway it delivers.","1","WAUB4AF4XLA071795","4","Pure driving bliss","1","1771686981.8"
"","Handles like it was born on a circuit. The power is addictive.","1","WAUB4CF50MA011689","3","Track-ready monster","1","1771826007.3"
"","Commanding yet refined. The interior quality is outstanding.","1","WBA13AG02MCH06737","5","Effortless elegance","1","1771965032.7"
"","Nothing like the feel of a true performance machine. Would rent again.","1","WBA13AR00MCG17326","4","Raw and exciting","1","1772104058.2"
"","Long highway stretches feel like nothing in this car. Exceptional.","1","WBA7T2C00NCH00913","5","Pure comfort","1","1772243083.6"
"","This car is incredible. Every corner every straightaway it delivers.","1","WBAAA1304K4205767","4","Pure driving bliss","1","1772382109.1"
"","Handles like it was born on a circuit. The power is addictive.","1","WBS33AY01MFL17070","4","Track-ready monster","1","1772521134.5"
"","Faster than anything I've driven before. Loved every second.","1","WBS33AZ00NCJ57751","5","Absolutely quick","1","1772660160.0"
"","This car does everything brilliantly without breaking a sweat.","1","WDBUF56X38B349556","5","Quiet confidence","1","1772799185.5"
"","The acceleration is savage and the sound is music to my ears.","1","WDDYJ7KA1LA028036","4","Incredible machine","1","1772938210.9"
"","This car is incredible. Every corner every straightaway it delivers.","1","WDDZH8KB0KA598882","5","Pure driving bliss","1","1773077236.4"
"","Handles like it was born on a circuit. The power is addictive.","1","WDDZH8KB8JA472333","4","Track-ready monster","1","1773216261.8"
"","Commanding yet refined. The interior quality is outstanding.","1","WF0DP3TH6H4118328","4","Effortless elegance","1","1773355287.3"
"","More fun than it looks. Nippy in the city and easy on gas.","1","WMEEK31X78K084848","3","Practical and fun","1","1773494312.7"
"","Not exciting but does everything well. Perfect city runabout.","1","WMW23GX05S2X59116","4","Sensible pick","1","1773633338.2"
"","This car is incredible. Every corner every straightaway it delivers.","1","WP0AA2952JN151373","3","Pure driving bliss","1","1773772363.6"
"","Handles like it was born on a circuit. The power is addictive.","1","WP0AA2A92MS206666","4","Track-ready monster","1","1773911389.1"
"","Faster than anything I've driven before. Loved every second.","1","WP0AA2A94SS207895","5","Absolutely quick","1","1774050414.5"
"","This car does everything brilliantly without breaking a sweat.","1","WP0AA2Y11NSA13221","4","Quiet confidence","1","1774189440.0"
"","Long highway stretches feel like nothing in this car. Exceptional.","1","WP0AB2A71NL130493","4","Pure comfort","1","1774328465.5"
"","This car is incredible. Every corner every straightaway it delivers.","1","WP0AB2A98ES120583","3","Pure driving bliss","1","1774467490.9"
"","Handles like it was born on a circuit. The power is addictive.","1","WP0AC2A81MK289217","4","Track-ready monster","1","1774606516.4"
"","Faster than anything I've driven before. Loved every second.","1","WP0AF2A98PS278459","5","Absolutely quick","1","1774745541.8"
"","Nothing like the feel of a true performance machine. Would rent again.","1","WP0CA2A90SS236478","4","Raw and exciting","1","1774884567.3"
"","Long highway stretches feel like nothing in this car. Exceptional.","1","WP1AA2A29DLA12633","5","Pure comfort","1","1775023592.7"
"","Supremely comfortable. The cabin is quiet and the ride is silky smooth.","1","WP1AA2A5XNLB00523","5","Pampered in style","1","1775162618.2"
"","Every detail is perfect. I felt like royalty the entire time.","1","WP1AA2AY0NDA03769","5","Rolling first class","1","1775301643.6"
"","Commanding yet refined. The interior quality is outstanding.","1","WP1AF2A53NLB30139","4","Effortless elegance","1","1775440669.1"
"","Nothing like the feel of a true performance machine. Would rent again.","1","WUAAWCF56NA902275","4","Raw and exciting","1","1775579694.5"
"","Huge but surprisingly agile. Very refined for a full-size vehicle.","1","WVGGNPE22NP056731","4","Effortless hauler","1","1775718720.0"
"","This car is incredible. Every corner every straightaway it delivers.","1","WVW387CD3NW194718","4","Pure driving bliss","1","1775857745.5"
"","Every detail is perfect. I felt like royalty the entire time.","1","WVWAR7AN6ME008688","5","Rolling first class","1","1775996770.9"
"","Faster than anything I've driven before. Loved every second.","1","WVWLF7AU5GW207495","5","Absolutely quick","1","1776135796.4"
"","Nothing like the feel of a true performance machine. Would rent again.","1","WVWWA7AU9KW148553","5","Raw and exciting","1","1776274821.8"
"","Long highway stretches feel like nothing in this car. Exceptional.","1","YN861010967","4","Pure comfort","1","1776413847.3"
"","This car is incredible. Every corner every straightaway it delivers.","1","YV1A92SW5G1295120","4","Pure driving bliss","1","1776552872.7"
"","Big comfortable and easy to drive despite its size. Great for road trips.","1","YV4062PA4S1390037","4","Commanding presence","1","1776691898.2"
"","Faster than anything I've driven before. Loved every second.","1","ZARBA12C2L6001483","5","Absolutely quick","1","1776830923.6"
"","Nothing like the feel of a true performance machine. Would rent again.","1","ZFF65LHA8C0188492","4","Raw and exciting","1","1776969949.1"
"","The acceleration is savage and the sound is music to my ears.","1","ZFFEW59A260147301","4","Incredible machine","1","1777108974.5"
"","This car is incredible. Every corner every straightaway it delivers.","1","ZHWUR1ZF7GLA05185","4","Pure driving bliss","1","1777248000.0"
